,product,new_code
108,2fd0e0da-6665-4bea-bd10-b849eda655c4,4402
109,9d94ef97-b83c-4fd0-ba9c-cfe53ce6ae7c,14431
110,8d626c6c-41b9-4f06-a309-099607c532a0,12925
111,4dc8e128-c416-4dc6-a268-4fbfae4bf648,7138
112,ceab87f8-fabb-491e-ab2b-50a6f4a2b071,18994
114,a7433303-f71e-4512-a3a9-269705c62af8,15353
115,16d17421-f380-4ac5-a24d-d46d42aa873e,2115
116,c29cb1d7-9e02-48f7-a5cd-4033f2deca4c,17854
117,1d2fff86-c7fb-40f3-bbfc-324426798b2b,2727
118,3c8aa947-fc4c-40e2-b766-32ff2ad518bd,5602
119,b1d42603-5e05-4f4a-b6cd-7183adee46a1,16288
120,b73c6412-a430-43c5-a897-026a6163a5a8,16791
121,6599ac63-3021-4d37-97a3-92443ca72546,9324
122,722d6034-a39a-4630-940b-ffe05b39b890,10528
123,f5f3aff0-d80e-4fa0-9ad0-1db22464b1fe,22636
124,61c5801c-15ae-4d31-8616-f8dfb9c9ad05,8971
125,a261d142-aaa6-4769-8784-5005022ef361,14885
126,2461f916-e1fa-4415-b7b0-19c641b09d00,3392
127,7fcf2adb-e0f5-40db-afe6-7121b57f2b8f,11751
128,a95db0cc-f1b7-487b-b919-e881ee766c77,15528
129,7fc5fcd8-5ff8-41d6-822b-04e7909c7cdc,11749
130,ac1f7f4b-6ebc-40d6-ae03-b49e49edfb3e,15774
131,0eab34ba-6dbc-422d-b63e-a5bc243ffdcf,1359
132,290362c2-4bed-4e7e-96dc-925b48a883f6,3813
133,36eb66fe-53e9-4601-914d-cf8764edc58f,5078
134,afcaa0a5-6c76-455e-bf92-6ce375c8a1cd,16104
135,be6f37a5-2f5d-4cd7-b89f-8cdd137b2e17,17464
136,eb8c8833-f5b2-4411-be31-968233ffe79d,21665
137,edc91737-0ae2-46fd-a7bc-68981a998251,21870
138,a2b6f474-6f04-48bc-8b5f-c97b884cbe10,14918
139,e4d5b133-414c-4271-a2e7-588cfb1ccf61,21065
140,bacf9f7e-1126-4d15-bac3-fe1eb7dff68f,17125
142,32d8d54a-c4e5-41c8-a67c-9351770d8774,4716
143,c739ceae-11ee-47a4-aae0-f5b8d0b71fb6,18286
144,4997301d-2265-40ad-96bc-e297ee815796,6769
145,ac58c837-3572-4c57-be30-23b0603c75dc,15805
146,98643576-f6a1-4b1f-8f44-077e9d7d894d,13967
147,d92d8e16-1645-4662-8da4-d27d560a0ceb,19958
148,9d1467a0-7974-4438-ab7d-8fd8a592a3bb,14386
149,bc29397e-4f2e-441c-9a9b-9cef9b6293c3,17246
150,18026a4f-1b08-4174-89ae-8f108d5ef74e,2225
151,0c3be99e-5d8b-4c2e-8d1d-7b0778f03d64,1119
152,5bde45ff-5e6b-4964-be52-0c0aa435c9aa,8432
153,2a14baa1-19b9-437e-8895-b046a99104b5,3913
154,d2c824b7-304b-40fe-b44d-0002c4cac71f,19366
155,d88cceb0-9ff0-48f1-961d-a5d05152000b,19895
158,0fa7e536-ad7b-4c89-8cf2-7101e154748b,1449
161,945ded1e-a1a3-4379-8eab-8980b8c220f5,13583
162,e9542943-c7a5-417b-904b-733177f94f9d,21461
163,77c73d24-3e6a-4b65-9d1c-f1754d45f40a,11061
164,02739b08-2237-45c6-b249-18454bbcf458,221
165,86024ee4-1a05-494e-9e74-22dbbc32aba0,12297
166,2f92d7d8-5a30-4c53-adf9-b5e5fa30a436,4383
167,30758a84-1c31-43b2-bb64-a6ea3385c69a,4460
169,6113ce1e-22b0-422c-8541-ca9445f3a754,8908
170,14e420e6-e37d-4612-bad5-d8d572bea3c5,1940
171,e3af326d-dded-46c6-b9cb-2a42d207849b,20942
172,92a434c9-752b-40de-9180-1cbc057b73e3,13397
174,c08a0704-b822-461b-ab2b-46f346eed73a,17671
176,94753d75-a5b8-4bc4-b3e1-ea1c6c41480a,13596
177,92b1eabc-4af1-409b-bdf1-b61a54657d90,13404
178,e4cff47b-1040-4317-b9fc-44862bb31491,21062
179,35ededa7-e312-4158-9a9e-9a30546926fe,4987
181,861cba0b-cbe8-4343-998a-d30ee2e8d877,12302
182,c6e6a3c8-77e9-4f9f-8934-5b66f3934c2a,18265
183,217e218d-02d2-4c88-9759-38e93c196b55,3129
184,3e312e0a-1bd0-4ae6-a86b-5db8bf1a356b,5761
185,d3106d58-6d77-4e2e-a406-ff907285c15c,19390
187,b0c45613-e68b-4e36-945a-d61fb2190508,16198
188,4a8818b2-c5d4-4245-b0ae-a00b91509933,6844
189,0e9ec6ee-cda5-45ac-b917-f62a27b1b878,1356
190,2023fefb-c645-423d-ab9f-97e3ce1b13e9,3000
191,8f361665-4f07-46b9-8f4d-0514ced8d812,13098
192,d31db804-7780-4a15-b077-046eea58f83f,19397
193,0c1ce857-456a-4118-9551-ba3fed690864,1111
194,04dc6cdb-128a-4898-a520-0cbdd9ab4022,433
195,32e55b27-d7af-45bb-b218-c7f9aca489e0,4722
196,cb4b317d-cb75-4329-b677-7ac5767350a9,18667
197,2381af91-f5a9-441f-8f52-47011102268f,3315
198,e5376a9c-fe1c-4f1d-b95a-c83359d594b2,21101
199,df6b8695-8639-459a-b033-51fae857ba36,20533
201,9743e121-2ab3-4d06-b8ba-63acc2295c13,13876
202,e69c639a-7ac4-4f7a-a6a4-b1fb7abeb9b3,21216
204,aac812b0-c54e-4955-afc5-d5efcccafb49,15661
206,0a831a76-b145-4142-9643-3cec5ba7dec3,966
207,0d41728a-c88d-4bb9-8317-d34451e0a783,1217
208,25d6bb97-5f49-462b-8485-f3ffd1801251,3540
210,305926a0-ca73-4698-b97f-818e74a90529,4450
211,fbc4b598-6fa5-4f9f-ae25-22a27ace5bbc,23207
214,f78e9651-6b9e-40c6-9470-3639749082e0,22814
216,50a7f003-1dda-43ba-afdf-3afd9b5e9493,7433
217,4a1552b6-80ab-44e4-a985-6d8c23671622,6809
218,ea00bae8-953f-4989-97d9-b94c39688a70,21529
219,a0e54158-9615-4aaa-927d-c7565d62d40f,14746
220,8923fb02-92e5-492a-bbe1-91c22b75da8a,12565
221,76f0d2df-6810-446f-9b50-1ac1032d9194,10986
222,3b8dcc73-adfc-4bd5-802b-f6ea8a29858e,5530
225,4c7f5874-d877-4bbe-b81a-dcde086c2737,7004
226,5b1a7a8a-37ad-439b-a04c-99314b4ecbfa,8372
228,fdd60a7d-ceae-4398-b41e-2d2157ea36a9,23385
229,b9f9743b-6bb4-4c93-83da-f3be6316e3db,17060
231,f0c56c58-e09b-4e13-9af5-0710f9fda5fe,22147
233,e3c6a694-8f49-4162-b429-037fe08037b4,20952
234,e5c979d9-ad8f-4854-bf6e-32c256878956,21151
236,ecefbc11-45b0-4ec7-a772-ddf554f4d122,21794
237,970dc329-441a-44bc-95b0-359ccf5f8528,13858
238,13807b33-e3c3-4b38-bec2-a3a82403f140,1826
239,c1dec8af-1aba-4733-b327-e3574c73eef4,17780
240,6e9831f2-908c-402b-a829-4ed2aa54c907,10175
241,9779cb34-7a68-4e1d-a1bd-7317abf0bdba,13897
242,91e47363-8e96-4285-a1b0-7b4d06a52de6,13326
243,441eb0e2-5dcf-4d4d-a9cc-d30a530d335b,6280
244,7cf74dc1-0c3b-4dbf-b633-b02a411de9ea,11505
245,54ffb1d1-173e-4147-93a2-c1f45a8e383c,7806
246,c91c8010-8759-47c8-bdfc-81eb4a1516fa,18448
247,f1fc1314-be18-4993-a829-a8afdab89315,22271
252,53522b74-6079-4d30-b987-d76ee7a52cc1,7654
253,9c20ef1b-98d2-4d5d-ab63-28854bdf64e6,14305
254,d7694980-815f-4a87-bd06-805d5e072a0f,19767
255,cbb050f7-18e9-43db-9a41-35b0573d740e,18712
257,e97fb0f1-441c-4c01-94c4-81e107a6026c,21476
259,5dd294d1-63d3-424d-8fdc-0784bf38a358,8607
260,2c20132c-524c-4190-af87-8abfd842a951,4095
261,3b4dce9e-fa85-4bca-8299-425eca09954b,5513
262,4fe71b1c-d9b0-4b45-9b80-79ecdac1c502,7353
263,edcfa6e9-7714-4978-ad7b-178a8ac8966d,21876
267,85f2ba3d-6ca4-4332-8683-33d186088328,12284
268,14d5043b-980a-4c4b-b8cf-e9f24c7e9f67,1936
270,cf680b6e-bbce-4baa-a325-d605814e2176,19044
271,0210d050-d72f-4448-88bc-41e729b3f845,184
273,f3131c84-eaef-4064-913f-a7de3a1ee47a,22385
275,186a56c3-527e-4a52-8737-4ccb90f0394e,2276
276,d4ef2aa8-2e58-4d72-a10e-7a05413eec6d,19534
277,5352b89b-9ecf-4c26-8e8e-307d952daf7b,7655
278,10c79be5-8d42-473f-acdd-1bcdab5c66ad,1540
279,eab6c648-fb82-4928-b3c9-7dbcb1f79b1c,21590
280,e9cac71d-c3ba-49ef-9ba8-ea7d1e19843f,21505
281,5d957cb7-9ad4-4913-9129-1b3b233f6d9a,8592
282,0c995c04-0217-4887-963b-7a184eae110e,1160
283,c1a648f2-fcd7-437b-9203-5d40ee7d8cfa,17762
284,6c47bdfc-db3a-4c59-99c1-4e33c8460436,9959
285,c57bf4ad-c79c-47b0-aacb-0fc398a97961,18123
286,45bb3fcf-24b2-46a4-826f-0438284a0508,6430
287,74f09582-12d6-4c81-9026-f567644eb377,10795
288,475e5f9d-b17e-49a0-9931-e6f4189d6843,6571
289,3962d0ae-b13c-4b78-ad6a-8b1ad53ba2cd,5318
290,94e7d687-5551-4fc4-a82b-ad2ec251b5ab,13648
292,500a8601-48a0-4e22-b9fb-64385853bf27,7375
293,be9aea0b-b48b-4850-8b59-fb1dabd1a252,17480
294,596ec19f-9806-427b-b4f2-ac46ca186c76,8216
295,c48a17b7-02fb-4983-8faa-1c9e59fb6618,18048
296,6aca2b1e-01b5-4cf8-80fe-b48c9d91e8fd,9817
297,2c58c4dd-1c52-499e-bcf5-74f4f48e69cd,4108
298,8470ea51-3339-40e7-b3ca-78cc47e43ae4,12152
299,21f1c4ad-843e-4305-a606-939f309c5686,3167
300,65387637-292b-41c1-a50e-2d72675f9e78,9292
302,3983cdeb-1fd6-4713-ab35-dfe5fd4c946c,5330
303,8ed762cf-4038-48b0-a9c1-438c89a3b16d,13064
304,37d4cc90-2579-4d99-bd43-0e7ec066688b,5181
305,e88d17c0-97b3-4e59-af0d-8da9dadae458,21398
306,e614b631-61c7-4a17-b612-fb29d723d696,21175
307,78b31632-63bd-4a9a-86f7-10cc3ab1953c,11133
308,e677fe4b-18cf-4369-946e-c58e044513a9,21206
309,eafc8abc-3ea7-422d-870b-e2c8d810d167,21615
311,ce154c50-d5a8-45d5-9171-2519b42f00b2,18943
314,de34aa27-73c6-4633-be29-2bb0a19b22a4,20416
315,3f11f199-466d-4486-b4aa-a16cb59e3d6d,5854
316,25041150-0638-4a08-bdc7-2cdec9dc624e,3458
318,6f81aee0-5b7d-41a5-b2ee-ec3f8adc646c,10262
319,85b4f08a-a5e3-4bd1-b4d1-ac841d9e1d4d,12259
321,e8a95713-04dd-492f-93f9-a2085142c619,21409
322,bdfa63ca-8d11-4603-b490-d1c86db1333a,17412
325,9857a9aa-adb5-4ff4-a7bf-92adb8ea39d1,13962
326,fd6e74f3-ee43-4c15-8b5d-0137c7e4ebc1,23353
328,5ae556ff-3dff-4286-bb77-bbb35eb62006,8354
330,23cbf6c1-7ab8-41fd-83ef-5e985c7a373e,3338
331,19374910-20a6-4d0e-a4af-7495f8f3530e,2341
332,6c6499ff-be21-42c9-bb29-9e7d057a1a1b,9972
333,a1fc14a2-78d9-4e10-a68d-b2825a39e130,14847
334,8089cac5-1dae-4ced-a666-ea4edd51bcd3,11818
336,d17feb4b-ab8e-42b7-af8d-9110db46826d,19249
337,ff7d1ae7-bc6f-4feb-bfe3-1610b035f32f,23538
338,e49bc419-d8a0-4fa8-86e2-128c42e966d0,21035
339,725920de-7a02-4002-b545-f83e40609aba,10540
340,2b49c3a3-233b-4186-8baf-b3fd069ea2c4,4018
341,9613104d-d501-407f-8b1d-9c1c46ef6cbd,13753
342,4ef6adf1-d01e-4902-89c2-0dcca5296741,7259
344,4ab8f9a3-d173-4903-a06f-ab3a5dca52f7,6855
345,9d8c7dbc-1672-4df6-9efc-2f88b8654daf,14426
346,1dfcd24d-f962-416e-9216-9a8eb7aef2da,2794
347,808858ca-9099-4662-82e3-13c733250f70,11817
348,21e5d0c6-7aed-4c78-9d39-229e60e51e4f,3162
349,c2db6ddb-1c09-4370-adad-a5aa53751486,17878
350,bb435dba-0f3f-4594-becb-853da3c66a32,17166
351,36d08a60-96f6-4e01-ba36-2bbbfd0dd192,5069
353,5a9271d9-3c41-4295-be70-9934df64e646,8323
354,93e8d924-ae8d-4a2e-9167-fe039ee41bb0,13527
355,99ca335f-8c17-4cb8-89b4-7e4fac672dd6,14089
356,b3c60ebc-4031-499d-a831-547fa27e8705,16474
359,41dfcb1c-412f-4b21-a615-518b97d74d86,6098
363,2656b053-7195-40e2-a59b-e3453b1ee751,3584
364,87cea8ff-4777-48b0-8a02-608c9c4ca9a6,12452
365,fdd4740d-5732-4040-81fb-5f197d152ff8,23382
368,3c1ab742-6ac3-4a9b-9f9b-a680fc1e3cf6,5579
369,cd64ff5c-7f67-42f5-9335-29b45acd46d1,18876
370,622853a6-1ce6-4cca-bbf8-1e9ef48047b0,9003
371,87c045d0-afbe-467a-ae31-24aeb60dd151,12446
372,05f65896-47d5-4afb-9ea8-be8997acc9b4,538
373,c8faf353-603b-422a-96ea-212d7ba3b164,18440
374,36408ec1-30b3-45a0-a2cc-28b2f1ee8bf2,5020
375,69d59130-1e2f-454f-b232-5b66753fce15,9739
376,e2609706-cfdf-47b1-b510-a3b322e128db,20809
377,9754ac9a-1cfc-464c-b024-7fed30ef6ac1,13885
379,8ed1f229-4fd0-405e-add1-f379641a15d6,13062
380,59e24362-b964-407e-844c-a006855f8d36,8268
382,8f273387-d9a9-4e4f-8922-05eddc99abb6,13096
383,cb4ded90-d101-4854-bcac-9ff5bdc59c69,18668
384,264fbc16-7c4b-45b8-b530-5de55ed0f3b4,3579
386,62658354-0fb1-4537-baa0-228d60340de1,9031
387,979790f5-da77-4e15-96c5-61756e362cfe,13905
388,cfda9cb7-8c59-4687-83dd-27b9b0bcd49e,19083
390,9b9c6295-6f7b-4495-b6c3-2b962e8c46bb,14258
391,c28ec88b-687f-47c3-85ab-7a35589702f2,17848
392,9e6d9a61-b2d3-4c6e-9b82-3f650575a410,14519
393,86a57d71-4960-4877-8f99-cbde35f25a09,12354
394,d2afa80a-a32a-4915-a842-ce5678a6703d,19355
395,3d45dd48-ba67-4cbf-aada-553d31863455,5664
396,0df4bbef-491d-4975-9127-66501c1afdbd,1289
397,f051d21b-6be6-43cc-827b-1e23411a6bbe,22102
398,6b9f0385-d080-4fe5-9478-e12f307240a4,9892
